Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2007-10-23,38527.57993899808,,,,,,
2007-10-24,20852.746734535034,,,,,,
2007-10-25,28763.895235188902,,,,,,
2007-10-26,14839.335650139226,,,,,,
2007-10-29,-4225.801894782941,,,,,,
2007-10-30,-15111.513279757013,,,,,,
2007-10-31,-2508.928659619457,,,,,,
2007-11-01,-16929.389745292436,,,,,,
2007-11-02,-23964.74241187786,,,,,,
2007-11-05,-16723.77845534091,,,,,,
2007-11-06,-32364.210035988646,,,,,,
2007-11-07,-33878.87325756086,,,,,,
2007-11-08,-17876.835180894595,,,,,,
2007-11-09,-15141.099874328702,,,,,,
2007-11-12,-14353.225773311215,,,,,,
2007-11-13,-4176.106605822793,,,,,,
2007-11-14,-18068.59820184692,,,,,,
2007-11-15,-39099.79053643585,,,,,,
2007-11-16,-40410.46837891866,,,,,,
2007-11-19,-24093.590199700684,,,,,,
2007-11-20,-12307.6438423442,,,,,,
2007-11-21,-4085.647125076492,,,,,,
2007-11-23,22176.0975622647,,,,,,
2007-11-26,41211.38704158735,,,,,,
2007-11-27,22417.55438754377,,,,,,
2007-11-28,23193.556906740887,,,,,,
2007-11-29,27409.40031211303,,,,,,
2007-11-30,21084.948938497466,,,,,,
2007-12-03,6912.855022601725,,,,,,
2007-12-04,4345.407732084173,,,,,,
2007-12-05,-2042.1239303859036,,,,,,
2007-12-06,-10242.429599995641,,,,,,
2007-12-07,-16746.287410315083,,,,,,
2007-12-10,-20670.294385682268,,,,,,
2007-12-11,-33247.00987825769,,,,,,
2007-12-12,-23579.324105588683,,,,,,
2007-12-13,-24607.205085033023,,,,,,
2007-12-14,-17258.15495359459,,,,,,
2007-12-17,-382.6922815646635,,,,,,
2007-12-18,12309.984694332881,,,,,,
2007-12-20,5922.933920995981,,,,,,
2007-12-21,11372.268577817704,,,,,,
2007-12-24,-1574.8683713420667,,,,,,
2007-12-26,-5896.908063666056,,,,,,
2007-12-27,-3053.0841933073,,,,,,
2007-12-28,-9908.02738628297,,,,,,
2008-01-02,-18034.513674597772,,,,,,
2008-01-03,-4140.5858889998035,,,,,,
2008-01-04,-8133.919374625961,,,,,,
2008-01-07,-18635.052910039438,,,,,,
2008-01-08,-16177.832315281297,,,,,,
2008-01-09,-23554.117971769945,,,,,,
2008-01-10,-46449.391529114895,,,,,,
2008-01-11,-47739.052881794734,,,,,,
2008-01-14,-29809.143416442534,,,,,,
2008-01-15,-65414.21309215159,,,,,,
2008-01-16,-43171.97957098253,,,,,,
2008-01-17,-13924.240302056187,,,,,,
2008-01-18,-3059.569742090821,,,,,,
2008-01-22,-22129.51219557495,,,,,,
2008-01-23,18249.97301249167,,,,,,
2008-01-24,-11823.989421809974,,,,,,
2008-01-25,-11496.917771582852,,,,,,
2008-01-28,-13026.166352182207,,,,,,
2008-01-29,15498.295836576444,,,,,,
2008-01-30,10180.623276622355,,,,,,
2008-01-31,17618.834086365365,,,,,,
2008-02-01,8459.551540418634,,,,,,
2008-02-04,1972.1904760485236,,,,,,
2008-02-05,-2268.5866871989865,,,,,,
2008-02-11,2738.1434204911066,,,,,,
2008-02-12,21376.208787840995,,,,,,
2008-02-13,11213.876433727663,,,,,,
2008-02-14,13194.600572178804,,,,,,
2008-02-15,904.758221296232,,,,,,
2008-02-19,5148.540398931319,,,,,,
2008-02-20,3247.6555763166675,,,,,,
2008-02-21,10773.169045857727,,,,,,
